SAMD11,NM_152486.2
UBE3B,NM_130466.3
MMAB,NM_052845.3
MVK,NM_000431.3
FAM222A,NM_032829.2
TRPV4,NM_021625.4
GIT2,NM_001135214.1
ANKRD13A,NM_033121.1
IFT81,NM_014055.3
ATP2A2,NM_001681.3
ATP2A2,NM_170665.3
ANAPC7,NM_016238.2
TCTN1,NM_001082538.2
HVCN1,NM_001040107.1
MYL2,NM_000432.3
CUX2,NM_015267.3
SH2B3,NM_005475.2
ATXN2,NM_002973.3
ALDH2,NM_000690.3
NAA25,NM_024953.3
PTPN11,NM_002834.3
RPH3A,NM_001143854.1
OAS1,NM_016816.2
OAS1,NM_001032409.1
OAS3,NM_006187.3
DTX1,NM_004416.2
RASAL1,NM_001193520.1
TPCN1,NM_001143819.2
SLC8B1,NM_024959.2
TBX5,NM_000192.3
TBX3,NM_005996.3
MED13L,NM_015335.4
RNFT2,NM_001109903.1
NOS1,NM_000620.4
KSR2,NM_173598.4
TAOK3,NM_016281.3
HSPB8,NM_014365.2
CIT,NM_001206999.1
PXN,NM_001080855.2
COX6A1,NM_004373.3
COQ5,NM_032314.3
CABP1,NM_001033677.1
ACADS,NM_000017.3
HNF1A,NM_000545.5
P2RX7,NM_002562.5
P2RX4,NM_002560.2
CAMKK2,NM_006549.3
ANAPC5,NM_016237.4
KDM2B,NM_032590.4
SETD1B,NM_015048.1
HPD,NM_002150.2
PSMD9,NM_002813.6
WDR66,NM_144668.5
DIABLO,NM_019887.5
VPS33A,NM_022916.4
CLIP1,NM_002956.2
ZCCHC8,NM_017612.4
RSRC2,NM_023012.5
HCAR1,NM_032554.3
DENR,NM_003677.4
HIP1R,NM_003959.2
C12orf65,NM_152269.4
SBNO1,NM_001167856.1
RILPL2,NM_145058.2
EIF2B1,NM_001414.3
TCTN2,NM_024809.4
ATP6V0A2,NM_012463.3
DNAH10,NM_207437.3
CCDC92,NM_025140.2
NCOR2,NM_006312.5
SCARB1,NM_001082959.1
SCARB1,NM_005505.4
DHX37,NM_032656.3
AACS,NM_023928.3
SLC15A4,NM_145648.3
TMEM132D,NM_133448.2
FZD10,NM_007197.3
PIWIL1,NM_004764.4
RIMBP2,NM_015347.4
ADGRD1,NM_198827.3
PUS1,NM_025215.5
EP400,NM_015409.4
P2RX2,NM_174873.2
POLE,NM_006231.3
ANKLE2,NM_015114.2
GOLGA3,NM_001172557.1
CHFR,NM_018223.2
MPHOSPH8,NM_017520.3
PSPC1,NM_001042414.2
ZMYM5,NM_001142684.1
ZMYM2,NM_003453.4
GJA3,NM_021954.3
GJB2,NM_004004.5
GJB6,NM_006783.4
IFT88,NM_175605.3
XPO4,NM_022459.4
LATS2,NM_014572.2
MICU2,NM_152726.2
FGF9,NM_002010.2
SGCG,NM_000231.2
SACS,NM_014363.5
MIPEP,NM_005932.3
SPATA13,NM_001166271.2
PARP4,NM_006437.3
ATP12A,NM_001185085.1
CENPJ,NM_018451.4
ATP8A2,NM_016529.4
RPL21,NM_000982.3
POLR1D,NM_015972.3
PDX1,NM_000209.3
CDX2,NM_001265.4
FLT3,NM_004119.2
FLT1,NM_002019.4
POMP,NM_015932.5
USPL1,NM_005800.4
HSPH1,NM_006644.3
B3GLCT,NM_194318.3
RXFP2,NM_130806.3
FRY,NM_023037.2
BRCA2,NM_000059.3
N4BP2L2,NM_033111.4
KL,NM_004795.3
STARD13,NM_178006.3
NBEA,NM_015678.4
SOHLH2,NM_017826.2
SPART,NM_015087.4
RFXAP,NM_000538.3
SMAD9,NM_001127217.2
EXOSC8,NM_181503.2
POSTN,NM_006475.2
TRPC4,NM_016179.2
FREM2,NM_207361.5
LHFPL6,NM_005780.2
COG6,NM_020751.2
SLC25A15,NM_014252.3
VWA8,NM_015058.1
DGKH,NM_152910.5
TNFSF11,NM_003701.3
LACC1,NM_001128303.1
SPERT,NM_152719.2
CPB2,NM_001872.4
LRCH1,NM_015116.2
HTR2A,NM_000621.4
SUCLA2,NM_003850.2
NUDT15,NM_018283.2
ITM2B,NM_021999.4
RB1,NM_000321.2
LPAR6,NM_005767.5
CYSLTR2,NM_020377.2
FNDC3A,NM_001079673.1
SETDB2,NM_031915.2
PHF11,NM_001040443.1
RCBTB1,NM_018191.3
ARL11,NM_138450.5
RNASEH2B,NM_024570.3
INTS6,NM_012141.2
ATP7B,NM_000053.3
ALG11,NM_001004127.2
THSD1,NM_018676.3
VPS36,NM_001282169.1
DIAPH3,NM_001042517.1
KLHL1,NM_020866.2
DACH1,NM_080759.5
PIBF1,NM_006346.2
KLF12,NM_007249.4
TBC1D4,NM_014832.3
LMO7,NM_015842.2
CLN5,NM_006493.2
MYCBP2,NM_015057.4
EDNRB,NM_000115.3
SPRY2,NM_005842.2
SLITRK1,NM_052910.2
SLITRK6,NM_032229.2
SLITRK5,NM_015567.1
GPC6,NM_005708.3
TGDS,NM_014305.3
GPR180,NM_180989.5
ABCC4,NM_005845.4
CLDN10,NM_006984.4
DZIP1,NM_198968.3
DNAJC3,NM_006260.4
SLC15A1,NM_005073.3
DOCK9,NM_015296.2
CLYBL,NM_206808.3
ZIC2,NM_007129.3
PCCA,NM_000282.3
NALCN,NM_052867.2
FGF14,NM_004115.3
FGF14,NM_175929.2
TPP2,NM_003291.2
ERCC5,NM_000123.3
SLC10A2,NM_000452.2
DAOA,NM_172370.4
ARGLU1,NM_018011.3
LIG4,NM_002312.3
MYO16,NM_001198950.1
IRS2,NM_003749.2
COL4A1,NM_001845.5
COL4A2,NM_001846.2
CARS2,NM_024537.2
ARHGEF7,NM_001113511.1
MCF2L,NM_001112732.2
F7,NM_000131.4
F10,NM_000504.3
PROZ,NM_003891.2
GRTP1,NM_001286732.1
TMCO3,NM_017905.4
GAS6,NM_000820.3
CHAMP1,NM_001164144.1
OR4Q3,NM_172194.1
OR4M1,NM_001005500.1
PARP2,NM_005484.3
TEP1,NM_007110.4
OSGEP,NM_017807.3
APEX1,NM_001641.3
PNP,NM_000270.3
ANG,NM_001145.4
RNASE3,NM_002935.2
RPGRIP1,NM_020366.3
SUPT16H,NM_007192.3
CHD8,NM_001170629.1
SALL2,NM_005407.2
OR10G3,NM_001005465.1
SLC7A7,NM_001126106.2
MMP14,NM_004995.3
C14orf93,NM_021944.3
CEBPE,NM_001805.3
HOMEZ,NM_020834.2
PABPN1,NM_004643.3
MYH6,NM_002471.3
MYH7,NM_000257.3
DHRS4L2,NM_198083.3
CPNE6,NM_006032.3
NRL,NM_006177.3
PCK2,NM_004563.3
DCAF11,NM_025230.4
RNF31,NM_017999.4
IRF9,NM_006084.4
REC8,NM_001048205.1
TSSK4,NM_174944.3
GMPR2,NM_016576.4
TINF2,NM_001099274.1
TGM1,NM_000359.2
RABGGTA,NM_182836.2
NFATC4,NM_004554.4
NYNRIN,NM_025081.2
SDR39U1,NM_020195.2
CMA1,NM_001836.3
CTSG,NM_001911.2
GZMB,NM_004131.4
FOXG1,NM_005249.4
PRKD1,NM_002742.2
COCH,NM_004086.2
AP4S1,NM_007077.4
HECTD1,NM_015382.3
GPR33,NM_001197184.2
NUBPL,NM_025152.2
ARHGAP5,NM_001030055.1
AKAP6,NM_004274.4
NPAS3,NM_173159.2
CFL2,NM_021914.7
BAZ1A,NM_013448.2
FAM177A1,NM_001079519.1
NFKBIA,NM_020529.2
NKX2-1,NM_001079668.2
NKX2-8,NM_014360.2
PAX9,NM_006194.3
FOXA1,NM_004496.3
SEC23A,NM_006364.2
TRAPPC6B,NM_177452.3
LRFN5,NM_152447.3
C14orf28,NM_001017923.1
KLHL28,NM_017658.3
PRPF39,NM_017922.3
FANCM,NM_020937.2
MIS18BP1,NM_018353.4
MDGA2,NM_001113498.2
RPS29,NM_001032.4
MGAT2,NM_002408.3
DNAAF2,NM_018139.2
POLE2,NM_002692.3
KLHDC1,NM_172193.2
NEMF,NM_004713.4
SOS2,NM_006939.2
L2HGDH,NM_024884.2
CDKL1,NM_004196.4
ATL1,NM_015915.4
NIN,NM_020921.3
PYGL,NM_002863.4
TRIM9,NM_052978.4
NID2,NM_007361.3
DDHD1,NM_001160147.1
DDHD1,NM_001160148.1
BMP4,NM_001202.3
CDKN3,NM_005192.3
GCH1,NM_000161.2
SOCS4,NM_199421.1
LGALS3,NM_002306.3
DLGAP5,NM_014750.4
TBPL2,NM_199047.2
TMEM260,NM_017799.3
OTX2,NM_172337.2
CCDC198,NM_018168.3
PSMA3,NM_002788.3
KIAA0586,NM_001244189.1
DACT1,NM_016651.5
DAAM1,NM_014992.2
C14orf39,NM_174978.2
SIX6,NM_007374.2
SIX1,NM_005982.3
TRMT5,NM_020810.3
PRKCH,NM_006255.4
HIF1A,NM_001530.3
KCNH5,NM_139318.4
PPP2R5E,NM_006246.3
SYNE2,NM_182914.2
ESR2,NM_001437.2
MTHFD1,NM_005956.3
AKAP5,NM_004857.3
SPTB,NM_000347.5
MAX,NM_002382.4
FUT8,NM_178155.2
GPHN,NM_020806.4
PLEKHH1,NM_020715.2
RDH11,NM_016026.3
RDH12,NM_152443.2
ZFYVE26,NM_015346.3
RAD51B,NM_133509.3
ZFP36L1,NM_004926.3
ACTN1,NM_001130004.1
SLC10A1,NM_003049.3
SMOC1,NM_001034852.2
SLC8A3,NM_183002.2
MAP3K9,NM_033141.3
PCNX1,NM_014982.2
SIPA1L1,NM_015556.2
RGS6,NM_004296.5
DCAF4,NM_015604.3
PSEN1,NM_000021.3
ACOT1,NM_001037161.1
ACOT4,NM_152331.3
DNAL1,NM_031427.3
COQ6,NM_182476.2
ALDH6A1,NM_005589.3
LIN52,NM_001024674.2
VSX2,NM_182894.2
ABCD4,NM_005050.3
NPC2,NM_006432.3
ISCA2,NM_194279.3
LTBP2,NM_000428.2
AREL1,NM_001039479.1
PROX2,NM_001243007.1
DLST,NM_001933.4
EIF2B2,NM_014239.3
MLH3,NM_001040108.1
NEK9,NM_033116.4
FOS,NM_005252.3
FLVCR2,NM_017791.2
TTLL5,NM_015072.4
TGFB3,NM_003239.3
IFT43,NM_052873.2
GPATCH2L,NM_017972.3
ESRRB,NM_004452.3
POMT2,NM_013382.5
GSTZ1,NM_145870.2
VIPAS39,NM_022067.3
SPTLC2,NM_004863.3
NRXN3,NM_004796.5
DIO2,NM_013989.4
CEP128,NM_152446.3
TSHR,NM_000369.2
STON2,NM_001256430.1
SEL1L,NM_005065.5
GALC,NM_000153.3
GPR65,NM_003608.3
SPATA7,NM_018418.4
PTPN21,NM_007039.3
ZC3H14,NM_024824.4
TTC8,NM_144596.3
TTC8,NM_198309.3
FOXN3,NM_001085471.1
TDP1,NM_018319.3
CALM1,NM_006888.4
GPR68,NM_003485.3
CCDC88C,NM_001080414.3
FBLN5,NM_006329.3
TRIP11,NM_004239.3
NDUFB1,NM_004545.3
SLC24A4,NM_153646.3
GOLGA5,NM_005113.3
CHGA,NM_001275.3
ITPK1,NM_014216.4
UBR7,NM_175748.3
UNC79,NM_020818.3
PRIMA1,NM_178013.3
DDX24,NM_020414.3
SERPINA10,NM_016186.2
SERPINA6,NM_001756.3
SERPINA1,NM_000295.4
SERPINA12,NM_173850.3
SERPINA5,NM_000624.5
SERPINA3,NM_001085.4
GSC,NM_173849.2
DICER1,NM_177438.2
CLMN,NM_024734.3
GLRX5,NM_016417.2
TCL1A,NM_021966.2
BDKRB2,NM_000623.3
AK7,NM_152327.3
VRK1,NM_003384.2
BCL11B,NM_138576.3
CCDC85C,NM_001144995.1
CYP46A1,NM_006668.1
EML1,NM_004434.2
DEGS2,NM_206918.2
YY1,NM_003403.4
WARS,NM_004184.3
RTL1,NM_001134888.2
PPP2R5C,NM_001161725.1
DYNC1H1,NM_001376.4
HSP90AA1,NM_001017963.2
CINP,NM_032630.2
TECPR2,NM_014844.3
RCOR1,NM_015156.3
TRAF3,NM_003300.3
AMN,NM_030943.3
CDC42BPB,NM_006035.3
CKB,NM_001823.4
APOPT1,NM_032374.4
XRCC3,NM_005432.3
ATP5MPL,NM_004894.2
TDRD9,NM_153046.2
INF2,NM_022489.3
ADSSL1,NM_199165.1
AKT1,NM_005163.2
ZBTB42,NM_001137601.1
CEP170B,NM_001112726.2
AHNAK2,NM_138420.2
GPR132,NM_013345.3
JAG2,NM_002226.4
BRF1,NM_001519.3
PACS2,NM_001100913.2
TEDC1,NM_001198983.1
TMEM121,NM_025268.2
OR4M2,NM_001004719.2
TUBGCP5,NM_052903.4
CYFIP1,NM_014608.3
NIPA2,NM_001184889.1
NIPA1,NM_144599.4
MKRN3,NM_005664.3
MAGEL2,NM_019066.4
NDN,NM_002487.2
UBE3A,NM_130838.1
ATP10A,NM_024490.3
GABRB3,NM_000814.5
GABRB3,NM_021912.4
GABRA5,NM_000810.3
GABRG3,NM_033223.4
OCA2,NM_000275.2
HERC2,NM_004667.5
APBA2,NM_005503.3
NSMCE3,NM_138704.3
CHRFAM7A,NM_139320.1
FAN1,NM_014967.4
TRPM1,NM_002420.5
OTUD7A,NM_130901.1
CHRNA7,NM_000746.5
ARHGAP11A,NM_014783.4
GREM1,NM_013372.6
FMN1,NM_001103184.3
FMN1,NM_001277314.1
RYR3,NM_001036.4
PGBD4,NM_152595.4
EMC4,NM_016454.3
SLC12A6,NM_133647.1
NOP10,NM_018648.3
GJD2,NM_020660.2
ACTC1,NM_005159.4
C15orf41,NM_001130010.2
MEIS2,NM_170674.4
SPRED1,NM_152594.2
RASGRP1,NM_005739.3
THBS1,NM_003246.2
EIF2AK4,NM_001013703.3
BUB1B,NM_001211.5
PAK6,NM_001276717.1
IVD,NM_002225.3
CHST14,NM_130468.3
KNL1,NM_170589.4
RAD51,NM_002875.4
DNAJC17,NM_018163.2
DLL4,NM_019074.3
INO80,NM_017553.2
NDUFAF1,NM_016013.3
RTF1,NM_015138.4
LTK,NM_002344.5
MGA,NM_001164273.1
MAPKBP1,NM_001128608.1
JMJD7,NM_001114632.1
JMJD7-PLA2G4B,NM_005090.3
SPTBN5,NM_016642.3
VPS39,NM_015289.3
CAPN3,NM_000070.2
STARD9,NM_020759.2
CDAN1,NM_138477.2
TTBK2,NM_173500.3
UBR1,NM_174916.2
EPB42,NM_000119.2
TGM5,NM_201631.3
ZSCAN29,NM_152455.3
TUBGCP4,NM_014444.3
TP53BP1,NM_005657.2
MAP1A,NM_002373.5
STRC,NM_153700.2
CATSPER2,NM_172095.2
PDIA3,NM_005313.4
HYPK,NM_016400.3
WDR76,NM_024908.3
CASC4,NM_138423.3
SPG11,NM_025137.3
PATL2,NM_001145112.1
B2M,NM_004048.2
DUOX2,NM_014080.4
DUOXA2,NM_207581.3
DUOXA1,NM_144565.3
DUOX1,NM_175940.2
SLC28A2,NM_004212.3
GATM,NM_001482.2
SPATA5L1,NM_024063.2
BLOC1S6,NM_012388.2
SEMA6D,NM_153618.1
SLC24A5,NM_205850.2
MYEF2,NM_016132.4
SLC12A1,NM_000338.2
DUT,NM_001025248.1
FBN1,NM_000138.4
CEP152,NM_014985.3
COPS2,NM_001143887.1
GALK2,NM_002044.3
ATP8B4,NM_024837.3
HDC,NM_002112.3
USP8,NM_005154.4
TRPM7,NM_017672.5
AP4E1,NM_007347.4
CYP19A1,NM_031226.2
GLDN,NM_181789.2
DMXL2,NM_001174116.1
SCG3,NM_013243.3
GNB5,NM_016194.3
MYO5A,NM_000259.3
WDR72,NM_182758.3
UNC13C,NM_001080534.1
RAB27A,NM_004580.4
DNAAF4,NM_130810.3
PYGO1,NM_015617.2
PRTG,NM_173814.5
TCF12,NM_207036.1
CGNL1,NM_032866.4
POLR2M,NM_015532.4
ALDH1A2,NM_003888.3
LIPC,NM_000236.2
ADAM10,NM_001110.3
MINDY2,NM_001040450.1
MYO1E,NM_004998.3
ICE2,NM_001018089.2
VPS13C,NM_020821.2
TLN2,NM_015059.2
TPM1,NM_001018005.1
TPM1,NM_001018020.1
APH1B,NM_031301.3
CA12,NM_001218.4
FBXL22,NM_203373.2
HERC1,NM_003922.3
PPIB,NM_000942.4
CSNK1G1,NM_022048.3
TRIP4,NM_016213.4
PIF1,NM_025049.3
PLEKHO2,NM_025201.4
SPG21,NM_016630.6
MTFMT,NM_139242.3
KBTBD13,NM_001101362.2
CLPX,NM_006660.3
CILP,NM_003613.3
SLC24A1,NM_004727.2
RAB11A,NM_004663.4
MEGF11,NM_032445.2
MAP2K1,NM_002755.3
SNAPC5,NM_006049.2
SMAD6,NM_005585.4
SMAD3,NM_005902.3
AAGAB,NM_024666.4
PIAS1,NM_016166.1
CLN6,NM_017882.2
ITGA11,NM_001004439.1
CORO2B,NM_006091.4
ANP32A,NM_006305.3
GLCE,NM_015554.1
KIF23,NM_138555.3
UACA,NM_018003.2
NR2E3,NM_014249.3
MYO9A,NM_006901.3
GRAMD2A,NM_001012642.2
PKM,NM_002654.4
CELF6,NM_052840.4
HEXA,NM_000520.4
ARIH1,NM_005744.3
BBS4,NM_033028.4
NEO1,NM_002499.3
HCN4,NM_005477.2
LOXL1,NM_005576.2
PML,NM_033238.2
PML,NM_033250.2
STRA6,NM_022369.3
CYP11A1,NM_000781.2
SEMA7A,NM_003612.3
EDC3,NM_025083.3
CYP1A1,NM_000499.3
CYP1A2,NM_000761.4
MPI,NM_002435.2
COX5A,NM_004255.3
NEIL1,NM_024608.3
SIN3A,NM_001145358.1
SNUPN,NM_005701.3
NRG4,NM_138573.3
ETFA,NM_000126.3
SCAPER,NM_020843.2
PSTPIP1,NM_003978.3
HMG20A,NM_018200.3
LINGO1,NM_032808.6
TBC1D2B,NM_144572.1
CIB2,NM_006383.3
IDH3A,NM_005530.2
IREB2,NM_004136.2
HYKK,NM_001013619.2
CHRNA5,NM_000745.3
CHRNA3,NM_000743.4
CHRNB4,NM_000750.3
CTSH,NM_004390.3
MTHFS,NM_006441.3
BCL2A1,NM_004049.3
FAH,NM_000137.2
ARNT2,NM_014862.3
CEMIP,NM_018689.2
IL16,NM_001172128.1
IL16,NM_004513.5
TMC3,NM_001080532.1
EFL1,NM_024580.5
RPS17,NM_001021.4
AP3B2,NM_004644.4
HOMER2,NM_004839.3
ADAMTSL3,NM_207517.2
WDR73,NM_032856.3
NMB,NM_205858.1
ZNF592,NM_014630.2
ALPK3,NM_020778.4
SLC28A1,NM_004213.4
AKAP13,NM_007200.4
KLHL25,NM_022480.3
AGBL1,NM_152336.2
NTRK3,NM_001012338.2
ACAN,NM_013227.3
HAPLN3,NM_178232.2
MFGE8,NM_005928.2
RLBP1,NM_000326.4
FANCI,NM_001113378.1
POLG,NM_002693.2
RHCG,NM_016321.2
KIF7,NM_198525.2
PLIN1,NM_002666.4
WDR93,NM_020212.1
MESP1,NM_018670.3
MESP2,NM_001039958.1
ANPEP,NM_001150.2
AP3S2,NM_005829.4
IDH2,NM_002168.3
ZNF774,NM_001004309.2
BLM,NM_000057.3
VPS33B,NM_018668.4
SV2B,NM_014848.4
ST8SIA2,NM_006011.3
C15orf32,NM_153040.2
CHD2,NM_001271.3
RGMA,NM_001166283.1
MCTP2,NM_018349.3
NR2F2,NM_021005.3
SPATA8,NM_173499.4
IGF1R,NM_000875.4
SYNM,NM_145728.2
LRRC28,NM_144598.3
MEF2A,NM_005587.2
LYSMD4,NM_152449.3
ADAMTS17,NM_139057.2
CERS3,NM_178842.3
LINS1,NM_001040616.2
ALDH1A3,NM_000693.3
LRRK1,NM_024652.4
CHSY1,NM_014918.4
PCSK6,NM_002570.4
TM2D3,NM_078474.2
RHBDF1,NM_022450.3
MPG,NM_002434.3
NPRL3,NM_001077350.2
HBA2,NM_000517.4
HBA1,NM_000558.4
LUC7L,NM_201412.1
RGS11,NM_001286485.1
PDIA2,NM_006849.2
AXIN1,NM_003502.3
TMEM8A,NM_021259.2
CAPN15,NM_005632.2
PIGQ,NM_004204.3
WDR90,NM_145294.4
STUB1,NM_005861.3
CCDC78,NM_001031737.2
NARFL,NM_022493.2
CHTF18,NM_022092.2
LMF1,NM_022773.2
SSTR5,NM_001053.3
CACNA1H,NM_021098.2
TPSG1,NM_012467.3
UBE2I,NM_003345.4
BAIAP3,NM_003933.4
GNPTG,NM_032520.4
UNKL,NM_001193388.3
CLCN7,NM_001287.5
TELO2,NM_016111.3
IFT140,NM_014714.3
MAPK8IP3,NM_001040439.1
MRPS34,NM_023936.1
EME2,NM_001257370.1
IGFALS,NM_004970.2
MEIOB,NM_001163560.2
NDUFB10,NM_004548.2
GFER,NM_005262.2
NPW,NM_001099456.2
NTHL1,NM_002528.5
TSC2,NM_000548.3
PKD1,NM_001009944.2
TRAF7,NM_032271.2
DNASE1L2,NM_001374.2
ECI1,NM_001919.3
ABCA3,NM_001089.2
CCNF,NM_001761.2
TBC1D24,NM_001199107.1
ATP6V0C,NM_001198569.1
SRRM2,NM_016333.3
CLDN6,NM_021195.4
THOC6,NM_024339.3
ZNF213,NM_004220.2
MEFV,NM_000243.2
TIGD7,NM_033208.3
OR2C1,NM_012368.2
C16orf90,NM_001080524.1
CLUAP1,NM_015041.2
SLX4,NM_032444.2
DNASE1,NM_005223.3
TRAP1,NM_016292.2
CREBBP,NM_004380.2
ADCY9,NM_001116.3
GLIS2,NM_032575.2
PAM16,NM_016069.9
CDIP1,NM_001199054.1
C16orf96,NM_001145011.1
MGRN1,NM_001142290.2
ANKS3,NM_133450.3
ZNF500,NM_021646.2
SEPT12,NM_144605.4
ROGDI,NM_024589.2
UBN1,NM_001079514.2
PPL,NM_002705.4
NAGPA,NM_016256.3
ALG1,NM_019109.4
RBFOX1,NM_145891.2
METTL22,NM_024109.2
ABAT,NM_020686.5
PMM2,NM_000303.2
GRIN2A,NM_000833.4
EMP2,NM_001424.4
TEKT5,NM_144674.1
CIITA,NM_000246.3
CLEC16A,NM_015226.2
SOCS1,NM_003745.1
PRM2,NM_002762.3
PRM1,NM_002761.2
LITAF,NM_004862.3
ZC3H7A,NM_014153.3
CPPED1,NM_018340.2
ERCC4,NM_005236.2
MKL2,NM_014048.3
PARN,NM_002582.3
BFAR,NM_016561.2
PLA2G10,NM_003561.1
RRN3,NM_018427.4
MARF1,NM_001184998.1
NDE1,NM_001143979.1
MYH11,NM_002474.2
MYH11,NM_022844.2
ABCC1,NM_004996.3
ABCC6,NM_001171.5
XYLT1,NM_022166.3
RPS15A,NM_001019.4
ARL6IP1,NM_015161.1
SMG1,NM_015092.4
COQ7,NM_016138.4
CCP110,NM_001199022.1
IQCK,NM_153208.1
GPR139,NM_001002911.2
GP2,NM_001007240.2
UMOD,NM_003361.3
ACSM2B,NM_182617.3
ACSM3,NM_005622.3
ZP2,NM_003460.2
CRYM,NM_001888.4
OTOA,NM_144672.3
UQCRC2,NM_003366.2
EEF2K,NM_013302.3
SCNN1G,NM_001039.3
SCNN1B,NM_000336.2
COG7,NM_153603.3
EARS2,NM_001083614.1
PALB2,NM_024675.3
DCTN5,NM_032486.3
PLK1,NM_005030.4
PRKCB,NM_212535.2
RBBP6,NM_006910.4
TNRC6A,NM_014494.2
SLC5A11,NM_052944.4
IL4R,NM_000418.3
IL21R,NM_181079.4
IL21R,NM_021798.3
GTF3C1,NM_001520.3
KIAA0556,NM_015202.2
CLN3,NM_001042432.1
IL27,NM_145659.3
SULT1A2,NM_001054.3
SULT1A1,NM_001055.3
EIF3C,NM_003752.4
TUFM,NM_003321.4
SH2B1,NM_001145795.1
SH2B1,NM_001145797.1
ATP2A1,NM_173201.3
CD19,NM_001770.5
LAT,NM_001014987.1
KIF22,NM_007317.2
PRRT2,NM_145239.2
SEZ6L2,NM_201575.3
TMEM219,NM_001083613.1
TAOK2,NM_016151.3
DOC2A,NM_003586.2
ALDOA,NM_000034.3
TBX6,NM_004608.3
MAPK3,NM_002746.2
CORO1A,NM_007074.3
SULT1A3,NM_177552.3
TBC1D10B,NM_015527.3
MYLPF,NM_013292.3
PRR14,NM_024031.2
SRCAP,NM_006662.2
PHKG2,NM_000294.2
CTF1,NM_001330.3
FBXL19,NM_001099784.2
SETD1A,NM_014712.2
HSD3B7,NM_025193.3
STX1B,NM_052874.4
ZNF668,NM_001172668.1
ZNF646,NM_014699.3
PRSS53,NM_001039503.2
VKORC1,NM_024006.4
BCKDK,NM_005881.3
PRSS8,NM_002773.3
FUS,NM_004960.3
PYCARD,NM_013258.4
ITGAM,NM_000632.3
ARMC5,NM_001105247.1
SLC5A2,NM_003041.3
AHSP,NM_016633.2
VPS35,NM_018206.4
ORC6,NM_014321.3
GPT2,NM_133443.2
PHKB,NM_000293.2
PHKB,NM_001031835.2
ABCC12,NM_033226.2
ABCC11,NM_032583.3
SIAH1,NM_001006610.1
ZNF423,NM_015069.3
HEATR3,NM_182922.2
ADCY7,NM_001114.4
NOD2,NM_022162.2
CYLD,NM_015247.2
SALL1,NM_002968.2
CHD9,NM_025134.4
AKTIP,NM_001012398.1
RPGRIP1L,NM_015272.2
FTO,NM_001080432.2
IRX5,NM_005853.5
MMP2,NM_004530.5
SLC6A2,NM_001043.3
CES1,NM_001025194.1
GNAO1,NM_020988.2
BBS2,NM_031885.3
MT1A,NM_005946.2
MT1X,NM_005952.3
NUP93,NM_014669.4
SLC12A3,NM_000339.2
CETP,NM_000078.2
NLRC5,NM_032206.4
RSPRY1,NM_133368.1
ARL2BP,NM_012106.3
CCL22,NM_002990.4
CX3CL1,NM_002996.4
COQ9,NM_020312.3
DOK4,NM_018110.3
ADGRG1,NM_005682.6
KATNB1,NM_005886.2
CNGB1,NM_001297.4
USB1,NM_024598.3
MMP15,NM_002428.2
GINS3,NM_001126129.1
NDRG4,NM_001130487.1
SETD6,NM_001160305.1
CNOT1,NM_001265612.1
CDH8,NM_001796.4
CDH11,NM_001797.2
CDH5,NM_001795.3
BEAN1,NM_001178020.2
TK2,NM_004614.4
CDH16,NM_004062.3
CES2,NM_003869.5
CES4A,NM_001190201.1
TRADD,NM_003789.3
HSF4,NM_001538.3
HSF4,NM_001040667.2
NOL3,NM_001276312.1
EXOC3L1,NM_178516.3
LRRC29,NM_012163.2
KCTD19,NM_001100915.1
LRRC36,NM_018296.5
HSD11B2,NM_000196.3
AGRP,NM_001138.1
RIPOR1,NM_001193523.1
CTCF,NM_006565.3
CARMIL2,NM_001013838.1
ACD,NM_001082486.1
PARD6A,NM_016948.2
CENPT,NM_025082.3
THAP11,NM_020457.2
CTRL,NM_001907.2
LCAT,NM_000229.1
SLC12A4,NM_001145963.1
DPEP2,NM_022355.3
SLC7A6,NM_001076785.2
SLC7A6OS,NM_032178.2
PRMT7,NM_019023.2
CDH3,NM_001793.4
CDH1,NM_004360.3
UTP4,NM_032830.2
VPS4A,NM_013245.2
COG8,NM_032382.4
NFAT5,NM_138714.3
NQO1,NM_000903.2
WWP2,NM_007014.4
PDPR,NM_017990.3
AARS,NM_001605.2
COG4,NM_015386.2
IL34,NM_152456.2
MTSS1L,NM_138383.2
VAC14,NM_018052.3
HYDIN,NM_001270974.1
ZNF23,NM_145911.2
TAT,NM_000353.2
PHLPP2,NM_015020.3
AP1G1,NM_001030007.1
ATXN1L,NM_001137675.3
PKD1L3,NM_181536.1
DHODH,NM_001361.4
HP,NM_005143.3
DHX38,NM_014003.3
PMFBP1,NM_031293.2
ZFHX3,NM_006885.3
PSMD7,NM_002811.4
GLG1,NM_012201.5
RFWD3,NM_018124.3
FA2H,NM_024306.4
WDR59,NM_030581.3
BCAR1,NM_001170714.1
CFDP1,NM_006324.2
CHST6,NM_021615.4
TMEM231,NM_001077416.2
KARS,NM_001130089.1
TERF2IP,NM_018975.3
CNTNAP4,NM_033401.3
ADAMTS18,NM_199355.2
NUDT7,NM_001105663.2
CLEC3A,NM_005752.4
WWOX,NM_016373.3
WWOX,NM_130791.3
MAF,NM_005360.4
GCSH,NM_004483.4
BCO1,NM_017429.2
GAN,NM_022041.3
PLCG2,NM_002661.4
HSD17B2,NM_002153.2
CDH13,NM_001257.4
MLYCD,NM_012213.2
OSGIN1,NM_182981.2
